..\bba\Runout_after_1N_X.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  2H-E      -140          9874.62.Q9642.96 T32.T9874.87.T32 AQJ6.Q3.K53.KQ75 K5.AKJ5.AJT.AJ84 | 1N-X=1=-P-2H | Cappelletti, strong
132   S  2S-S      -200          Q5.T93.743.T7654 J4.J752.J86.K982 A8763.K86.AQ9.Q3 KT92.AQ4.KT52.AJ | 1N-X=1=-P-P-2S | Cappelletti, strong
133   S  2S-E      -110          T64.T94.63.Q8542 Q9532.865.T5.J96 AJ.AQ7.K9874.K73 K87.KJ32.AQJ2.AT | 1N-X=1=-P-2S | Cappelletti, strong
134   S  2D-E      -130          974.9852.4.QJ954 T86.Q4.QJ9863.87 KJ3.KT73.AT75.AT AQ52.AJ6.K2.K632 | 1N-X=1=-P-2D | Cappelletti, strong
135   S  3C-S       110          954.QT9.5.QT9876 6.K764.987432.52 KQT3.J852.AJ6.A4 AJ872.A3.KQT.KJ3 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
136   S  2H-E      -140          JT.42.T9852.JT75 964.J8753..A9843 KQ87.AK6.J743.K2 A532.QT9.AKQ6.Q6 | 1N-X=1=-P-2H | Cappelletti, strong
137   S  2SX-E      200          5.Q98.JT942.K943 T762.J74.Q875.T5 K843.A62.K6.AJ72 AQJ9.KT53.A3.Q86 | 1N-X=1=-XX-2S-X | Cappelletti, strong
138   S  2S-E      -170          64.J876.43.QT542 AT97532.5.Q98.63 K8.A42.AKT72.J97 QJ.KQT93.J65.AK8 | 1N-X=1=-P-2S | Cappelletti, strong
139   S  3D-E      -110          T5.82.JT5.T87652 Q87.T764.KQ432.J A962.AK95.97.A93 KJ43.QJ3.A86.KQ4 | 1N-X=1=-2S=2=-3D | Cappelletti, strong | 1N-2S transfer to clubs
140   S  3D-S       110          53.9643.A87643.6 T9742.QT52.T.Q73 Q8.A87.J95.AKJ82 AKJ6.KJ.KQ2.T954 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
141   S  2H-E       200          87.875.Q9763.K86 T653.T643.842.Q5 AKQ2.KQJ2.J5.732 J94.A9.AKT.AJT94 | 1N-X=1=-P-2H | Cappelletti, strong
142   S  2D-S      -100          KJT7.653.3.T8742 8642.982.T87.AJ6 Q95.QT7.AQ652.KQ A3.AKJ4.KJ94.953 | 1N-X=1=-P-P-2D | Cappelletti, strong
143   S  2C-E      -130          J654.Q54.98764.7 T9.KT87.3.JT9864 AKQ32.A2.JT2.Q53 87.J963.AKQ5.AK2 | 1N-X=1=-P-2C | Cappelletti, strong
144   S  2S-E      -140          T43.Q754.J9742.6 K9852.JT9.63.972 76.A863.A85.AKT8 AQJ.K2.KQT.QJ543 | 1N-X=1=-P-2S | Cappelletti, strong
145   S  3D-N       -50          84.62.K9832.Q632 QJT76.74.T65.875 K92.KQT98.QJ.AT9 A53.AJ53.A74.KJ4 | 1N-X=1=-P-2S-P-P-3D | Cappelletti, strong
146   S  4C-E        50          T95.KJ876.T7654. J874.Q2.3.Q87542 AQ.AT54.A82.JT93 K632.93.KQJ9.AK6 | 1N-X=1=-2D-4C | Cappelletti, strong
147   S  2CX-E      200          J5.J32.AJ643.QT8 74.T875.98.76542 AK93.Q96.KQ72.J3 QT862.AK4.T5.AK9 | 1N-X=1=-XX-2C-P-P-X | Cappelletti, strong
148   S  2H-E       100          QJT6.4.J63.JT865 9854.9652.T5.732 32.KQJ8.AQ42.KQ4 AK7.AT73.K987.A9 | 1N-X=1=-P-2H | Cappelletti, strong
149   S  2S-E      -140          K6.T95.KT764.854 T98743.Q43.83.T2 J2.K76.AJ52.KQJ6 AQ5.AJ82.Q9.A973 | 1N-X=1=-XX-2S | Cappelletti, strong
150   S  3H-E      -200          J9.87.J65432.853 Q85.K9542.987.72 T42.A63.KQ.KQJ96 AK763.QJT.AT.AT4 | 1N-X=1=-3C=2=-P-3D=3=-X-P-3H | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
151   S  4S-E       100          9.QT754.JT543.T2 JT874.J62.9.9543 AQ65.K93.86.AQJ8 K32.A8.AKQ72.K76 | 1N-X=1=-2D-2S-X=2=-3H=3=-P-3S-P-4S | Cappelletti, strong | Support | Limit raise or better in !S
152   S  4HX-E      100          K9.43.J97632.873 873.K98765.85.62 AJT42.AT.AQT.T95 Q65.QJ2.K4.AKQJ4 | 1N-X=1=-3C=2=-P-3D=3=-X-P-3H-P-P-4D-4H-P-P-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
153   S  3CX-S      570          4.42.T863.AT9732 T532.KQ753.97.86 QJ86.J9.AQ42.KQ4 AK97.AT86.KJ5.J5 | 1N-X=1=-2S=2=-P-3C=3=-P-P-X | Cappelletti, strong | 1N-2S transfer to clubs | Automat
154   S  2S-E      -230          52.T6.KJ872.8653 KJT763.987432..J A94.Q5.AQT94.K94 Q8.AKJ.653.AQT72 | 1N-X=1=-P-2S | Cappelletti, strong
155   S  3C-S       130          K5.5.J962.J97643 J7432.JT43.87.T8 A96.Q97.AT54.AQ2 QT8.AK862.KQ3.K5 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
156   S  2S-E      -110          953.832.53.J8753 J842.QT7.QT62.92 KQ.AJ954.K98.KT4 AT76.K6.AJ74.AQ6 | 1N-X=1=-P-2S | Cappelletti, strong
157   S  1NX-S      180          K97.53.Q7642.T92 QT4.8764.J93.J54 832.AJT.K85.AK76 AJ65.KQ92.AT.Q83 | 1N-X=1= | Cappelletti, strong
158   S  2N-S       120          Q843.4.AT973.K83 T72.98632.542.54 K95.KQJ5.KQ8.JT9 AJ6.AT7.J6.AQ762 | 1N-P-2C=1=-P-2H-P-2N | Stayman
159   S  2H-S      -300          J962.J.852.J8763 753.Q73.QJ93.T94 KQ4.AT952.K4.K52 AT8.K864.AT76.AQ | 1N-X=1=-P-P-2H | Cappelletti, strong
160   S  3C-S       110          6.6.9876.QJ98764 JT53.KJT85.T3.52 AKQ8.Q732.KQ5.T3 9742.A94.AJ42.AK | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
161   S  3D-S       130          4.65.QJT987.A863 T9.J8432.653.942 AKJ85.KT7.42.KQ5 Q7632.AQ9.AK.JT7 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
162   S  2S-E      -110          T.8652.T73.JT932 J954.J3.J85.K865 K8762.AQ4.K42.A4 AQ3.KT97.AQ96.Q7 | 1N-X=1=-P-2S | Cappelletti, strong
163   S  2H-E      -140          865.K96.64.T9842 T432.Q872.953.53 QJ97.A4.A872.KJ7 AK.JT53.KQJT.AQ6 | 1N-X=1=-P-2H | Cappelletti, strong
164   S  2HX-S      670          JT94.986.T9854.J A832.43.62.QT854 KQ7.KQJT7.KQ.763 65.A52.AJ73.AK92 | 1N-X=1=-P-P-2H-P-P-X | Cappelletti, strong
165   S  1NX-S     -500          J42.62.T52.97543 T7653.A98.J64.J6 AQ9.QT53.Q73.KQT K8.KJ74.AK98.A82 | 1N-X=1= | Cappelletti, strong
166   S  2S-N      -150          653.94.T9862.J85 T987.T86.QJ5.T42 A42.KQ73.A7.K763 KQJ.AJ52.K43.AQ9 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-X-2S | Cappelletti, strong | SOS | Artificial
167   S  2SX-S     -500          865.8643.J.Q9752 KQJ2.972.9762.63 9743.AQ.KQT5.AT8 AT.KJT5.A843.KJ4 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2H-X-2S-X | Cappelletti, strong | SOS | Artificial
168   S  2SX-N     -500          Q53.742.43.T8743 KJ86.J53.652.Q95 T94.KQ96.AQJ9.K6 A72.AT8.KT87.AJ2 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2S-X | Cappelletti, strong | SOS | Artificial
169   S  3DX-S      470          T93.96.9865432.J K642.J54.K.T7543 Q85.AK832.AJ.Q62 AJ7.QT7.QT7.AK98 | 1N-X=1=-3C=2=-P-3D=3=-P-P-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
170   S  3C-S       130          T4.T542.T.A98432 J85.963.K8532.T7 Q962.A8.A964.KQ6 AK73.KQJ7.QJ7.J5 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
171   S  1NXX-S     760          63.J92.KQT65.KT6 987.765.743.9854 AJT.AT43.982.AQ3 KQ542.KQ8.AJ.J72 | 1N-X=1=-XX | Cappelletti, strong
172   S  2S-E        50          9865.852.9.Q7532 K743.T4.T843.T86 AQ2.KJ63.QJ75.K9 JT.AQ97.AK62.AJ4 | 1N-X=1=-P-2S | Cappelletti, strong
173   S  2H-E       100          853.Q932.T.J9872 64.T874.K754.T43 KQT2.KJ6.9632.AQ AJ97.A5.AQJ8.K65 | 1N-X=1=-P-2H | Cappelletti, strong
174   S  2C-E      -110          98.J865.J9763.43 T43.932.A4.J9875 KQ65.Q74.KT2.AQ2 AJ72.AKT.Q85.KT6 | 1N-X=1=-P-2C | Cappelletti, strong
175   S  2D-S       110          KQ54.JT2.T8632.4 T98.953.J4.J9873 J6.A87.KQ9.KQT52 A732.KQ64.A75.A6 | 1N-X=1=-2C=2=-P-2D | Cappelletti, strong | Stayman
176   S  3C-N       -50          J72.85.942.AT532 96.JT9642.863.Q8 Q543.AK.AQ75.J94 AKT8.Q73.KJT.K76 | 1N-X=1=-P-2H-P-P-3C | Cappelletti, strong
177   S  4C-N       130          4.J87.J952.QJ952 QJT8632.965.T6.6 A9.KT42.A4.AT743 K75.AQ3.KQ873.K8 | 1N-X=1=-P-2S-P-P-3C-P-3S=2=-P-4C | Cappelletti, strong | Limit raise or better in !C
178   S  2S-E      -170          4.7642.J53.J9872 QT962.J83.Q9.T64 53.KQ9.AT642.AQ3 AKJ87.AT5.K87.K5 | 1N-X=1=-P-2S | Cappelletti, strong
179   S  3D-N       150          T.J873.J8532.K72 8632.T62.T.QT985 954.KQ54.AK76.A4 AKQJ7.A9.Q94.J63 | 1N-X=1=-P-2C-P-P-2D-P-3C=2=-P-3D | Cappelletti, strong | Limit raise or better in !D
180   S  1NX-S     -500          9876.JT2.T.T9432 A53.Q54.87543.J6 QJ2.A98.KQJ2.Q87 KT4.K763.A96.AK5 | 1N-X=1= | Cappelletti, strong
181   S  4S-E        50          5.T97.864.T96542 JT8642.K8.Q52.Q7 Q73.AJ43.AJT9.A3 AK9.Q652.K73.KJ8 | 1N-X=1=-2S=2=-3S-P-4C=3=-P-4S | Cappelletti, strong | 1N-2S transfer to clubs | Limit raise or better in !S
182   S  3S-E      -140          976.T94.QT9653.9 8542.832.A7.JT62 QJ.Q75.J84.AKQ54 AKT3.AKJ6.K2.873 | 1N-X=1=-3C=2=-P-3D=3=-X-P-3S | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
183   S  4S-E       100          862.T4.T3.K98754 QJ9754.Q93.J92.2 T3.A76.AK654.AT3 AK.KJ852.Q87.QJ6 | 1N-X=1=-2S=2=-4S | Cappelletti, strong | 1N-2S transfer to clubs
184   S  2S-E        50          9764.J7.54.QJ984 T852.Q65.T732.K5 KJ.A932.AK8.T762 AQ3.KT84.QJ96.A3 | 1N-X=1=-P-2S | Cappelletti, strong
185   S  3D-S       110          9.32.QJT875.JT42 JT7642.JT65..853 AQ83.KQ97.32.A97 K5.A84.AK964.KQ6 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
186   S  2SX-S     -800          6.J863.754.98762 QJ53.975.A83.T53 KT984.KQ2.K92.A4 A72.AT4.QJT6.KQJ | 1N-X=1=-P-P-2S-P-P-X | Cappelletti, strong
187   S  2S-E      -140          4.KT865.T9852.73 J975.QJ4.Q4.8654 KQ32.A2.KJ6.QT92 AT86.973.A73.AKJ | 1N-X=1=-2D-X-XX=2=-2H=3=-P-2S | Cappelletti, strong | Artificial | Limit raise or better in !S
188   S  2S-E      -170          3.8752.973.QT875 J9762.Q9.J6.J932 AQT.KT43.T852.AK K854.AJ6.AKQ4.64 | 1N-X=1=-P-2S | Cappelletti, strong
189   S  2H-E      -200          8.Q76.T982.QT972 QT752.KT9532.4.5 AKJ.84.KQJ75.J43 9643.AJ.A63.AK86 | 1N-X=1=-P-2H | Cappelletti, strong
190   S  2C-E        50          J84.32.KT963.Q87 T972.T84.Q.T9653 AK63.AQ5.7542.K2 Q5.KJ976.AJ8.AJ4 | 1N-X=1=-XX-2C | Cappelletti, strong
191   S  2H-E      -170          Q972.9.T87.J9864 T6.QT7654.643.A2 AJ3.J832.KJ2.KQ3 K854.AK.AQ95.T75 | 1N-X=1=-P-2H | Cappelletti, strong
192   S  3D-N       130          T32.75.JT864.AK9 7.JT8432.97.T862 A954.A96.AQ5.J75 KQJ86.KQ.K32.Q43 | 1N-X=1=-XX-2H-P-P-3D | Cappelletti, strong
193   S  3D-S       130          42.JT.J96532.QJ7 9865.86542.Q8.65 AQT7.A97.AK4.T92 KJ3.KQ3.T7.AK843 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
194   S  2D-N        90          632.Q76.KT732.T5 T4.J43.J984.6432 KQ9.K985.Q6.AQJ9 AJ875.AT2.A5.K87 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
195   S  3C-N       -50          62.K75.J82.J9632 JT54.T943.653.75 AK7.QJ86.AQ7.T84 Q983.A2.KT94.AKQ | 1N-X=1=-P-2H-P-P-3C | Cappelletti, strong
196   S  2HX-E      200          Q753.Q8.Q8653.T7 T4.T9432.42.J543 AK.AJ75.JT7.K982 J9862.K6.AK9.AQ6 | 1N-X=1=-XX-2H-X | Cappelletti, strong
197   S  2H-E       100          5.983.AQ982.T762 T973.JT72.764.43 AQ86.Q5.T53.AKJ8 KJ42.AK64.KJ.Q95 | 1N-X=1=-XX-2H | Cappelletti, strong
198   S  2D-N       110          QJ3.Q842.87652.5 762.653.J9.JT982 KT98.AKT9.KT.A63 A54.J7.AQ43.KQ74 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
199   S  2H-E      -140          762.A72.T9742.85 T843.QT653.8.KT7 KJ5.J9.AK3.QJ943 AQ9.K84.QJ65.A62 | 1N-X=1=-P-2H | Cappelletti, strong
200   S  3SX-E      300          K32.98.QT9743.J6 T854.762.62.K874 J9.KQT54.AK8.Q92 AQ76.AJ3.J5.AT53 | 1N-P-3C=1=-P-3D=2=-X-P-3S-P-P-X | 1N-3C transfer to diamonds | Automat
201   S  2S-E      -170          75.8742.97.KJT75 A8642.9653.J82.2 JT.AKJ.AT64.Q963 KQ93.QT.KQ53.A84 | 1N-X=1=-P-2S | Cappelletti, strong
202   S  2C-E       -90          64.8732.K9763.64 JT87.T4.JT.T9873 932.AKQ95.52.AQJ AKQ5.J6.AQ84.K52 | 1N-X=1=-P-2C | Cappelletti, strong
203   S  2SX-S     -500          J3.JT87.82.98752 Q762.942.K965.J6 A85.Q6.QT74.AK43 KT94.AK53.AJ3.QT | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2H-P-2S-P-P-X | Cappelletti, strong | SOS | Artificial
204   S  2H-E        50          8643.KT7.QT975.7 72.9643.8643.653 AQ5.Q85.K2.AQ942 KJT9.AJ2.AJ.KJT8 | 1N-X=1=-P-2H | Cappelletti, strong
205   S  2HX-S     -500          JT8.942.97543.J5 963.JT7.AT86.986 KQ74.A863.KQ.KT7 A52.KQ5.J2.AQ432 | 1N-X=1=-P-P-XX=2=-P-2D-X-2H-X | Cappelletti, strong | SOS
206   S  3D-S       -50          986.J3.J65432.J8 743.K854.T7.K652 AT2.Q972.KQ8.A73 KQJ5.AT6.A9.QT94 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
207   S  2H-E      -110          J75.J.T874.Q9753 Q963.9652.532.T8 A42.A87.J96.AK64 KT8.KQT43.AKQ.J2 | 1N-X=1=-P-2H | Cappelletti, strong
208   S  2SX-N     -500          876.532.T7.JT952 QJ52.AT7.9653.63 K93.K8.KJ82.AQ84 AT4.QJ964.AQ4.K7 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2S-X | Cappelletti, strong | SOS | Artificial
209   S  2H-E      -140          85.973.T95.J9654 J973.JT864.QJ84. K64.AQ5.76.AKT87 AQT2.K2.AK32.Q32 | 1N-X=1=-P-2H | Cappelletti, strong
210   S  2D-S        90          K74.J983.QT765.T T932.75.8432.J98 QJ6.KQ2.J9.AQ743 A85.AT64.AK.K652 | 1N-X=1=-2C=2=-P-2D | Cappelletti, strong | Stayman
211   S  2SX-E      500          9.A842.QT984.853 Q764.75.762.T942 J8532.KJ6.AK3.A7 AKT.QT93.J5.KQJ6 | 1N-X=1=-XX-2S-X | Cappelletti, strong
212   S  1NXX-S     760          J542.86.AJT73.53 9876.743.642.T96 KQ.AKJ52.Q98.874 AT3.QT9.K5.AKQJ2 | 1N-X=1=-XX | Cappelletti, strong
213   S  2S-E      -140          4.964.QT654.A974 J98632.5.932.Q32 AQT.KJT2.A87.JT8 K75.AQ873.KJ.K65 | 1N-X=1=-XX-2S | Cappelletti, strong
214   S  3C-S       130          532.97.53.KQT762 986.T543.9764.A9 AK.AJ82.KT82.843 QJT74.KQ6.AQJ.J5 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
215   S  2H-S      -200          7432.832.QJ653.5 985.T7.K72.JT763 AKJ.KJ65.94.K942 QT6.AQ94.AT8.AQ8 | 1N-X=1=-P-P-XX=2=-P-2D-P-2H | Cappelletti, strong | SOS
216   S  2H-E      -140          T6.962.T42.JT985 85.87543.Q93.KQ6 A9732.AK.AJ6.742 KQJ4.QJT.K875.A3 | 1N-X=1=-P-2H | Cappelletti, strong
217   S  2H-E      -200          9.Q32.T6542.T954 QT642.JT986.A73. AJ7.54.Q98.AKJ87 K853.AK7.KJ.Q632 | 1N-X=1=-P-2H | Cappelletti, strong
218   S  2S-E      -140          943.74.T98.98754 QT762.8652.QJ4.6 AJ8.KT.AK72.QT32 K5.AQJ93.653.AKJ | 1N-X=1=-P-2S | Cappelletti, strong
219   S  3C-E      -110          87.763.T9643.976 KT93.T95.Q2.JT43 AQJ52.K84.J7.KQ8 64.AQJ2.AK85.A52 | 1N-X=1=-P-P-2S-X-P-3C | Cappelletti, strong
220   S  2S-S       110          985.95.A87.T9863 J63.Q32.J932.J52 AQT72.874.KQT.A7 K4.AKJT6.654.KQ4 | 1N-X=1=-P-P-2S | Cappelletti, strong
221   S  2D-N        90          A762.76.T8743.T4 T953.QT32..QJ632 KQ8.K954.A95.K85 J4.AJ8.KQJ62.A97 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
222   S  1NX-S     -500          943.JT54.J.T9843 AT7.6.QT97642.75 K865.KQ2.853.AK2 QJ2.A9873.AK.QJ6 | 1N-X=1= | Cappelletti, strong
223   S  2D-E      -130          JT74.53.97.QJ843 3.Q964.QT6542.T5 AQ86.J72.A83.A76 K952.AKT8.KJ.K92 | 1N-X=1=-P-2D | Cappelletti, strong
224   S  3D-N       110          J52.7.A9862.9652 T743.QT643.J7.T7 86.AK952.QT5.AK8 AKQ9.J8.K43.QJ43 | 1N-X=1=-P-2H-P-P-3D | Cappelletti, strong
225   S  3C-N       110          965.8.QT92.K9642 T8743.Q542.43.T5 A2.AJ963.J65.AQ3 KQJ.KT7.AK87.J87 | 1N-X=1=-P-2S-P-P-3C | Cappelletti, strong
226   S  3D-S       110          97.86.KT9843.954 543.QJT92.Q2.T86 AQ82.753.AJ6.A32 KJT6.AK4.75.KQJ7 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
227   S  2H-E      -110          T653.Q6.Q9876.94 7.T98752.K5.8762 QJ92.KJ3.T32.AKQ AK84.A4.AJ4.JT53 | 1N-X=1=-P-2H | Cappelletti, strong
228   S  2H-E       100          J9.42.QT76.J9762 8732.J873.J82.T8 A65.AT965.AK3.53 KQT4.KQ.954.AKQ4 | 1N-X=1=-P-2H | Cappelletti, strong
229   S  3CX-S     -200          T632.42.4.QJ9832 8.T975.KT973.KT5 AKQ5.QJ63.QJ8.76 J974.AK8.A652.A4 | 1N-X=1=-2S=2=-P-3C=3=-P-P-X | Cappelletti, strong | 1N-2S transfer to clubs | Automat
230   S  3C-S       110          J8.T83.JT.J86542 T965.K9765.9765. Q43.AJ2.K42.AK73 AK72.Q4.AQ83.QT9 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
231   S  1NX-S      180          753.Q53.J7.75432 QJ6.J962.842.T96 AKT4.KT7.Q95.KQ8 982.A84.AKT63.AJ | 1N-X=1= | Cappelletti, strong
232   S  2H-E      -170          QT43.J6.98542.92 52.AT9874.7.T643 J876.K52.AQJT.KJ AK9.Q3.K63.AQ875 | 1N-X=1=-P-2H | Cappelletti, strong
233   S  3C-S       150          .42.A842.T987643 T9872.J9875.76.K Q6543.AK3.J3.AJ5 AKJ.QT6.KQT95.Q2 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
234   S  2S-E      -170          3.T75.Q9872.8432 Q8542.J94.3.QJT6 J976.A832.KJ5.AK AKT.KQ6.AT64.975 | 1N-X=1=-P-2S | Cappelletti, strong
235   S  4S-E        50          62.T97.AJT987.63 KJT985.853.3.754 43.AQJ6.K52.KQT9 AQ7.K42.Q64.AJ82 | 1N-X=1=-3C=2=-P-3D=3=-P-P-4S | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
236   S  3S-S       170          A97654.83.T8765. .T9542.QJ3.T8752 QJ8.AQ7.K42.KJ63 KT32.KJ6.A9.AQ94 | 1N-X=1=-2H-P-2S-P-3S | Cappelletti, strong
237   S  2HX-E     -670          A984..9732.JT972 J6.T87642.Q84.86 KT73.AKJ9.AJ5.54 Q52.Q53.KT6.AKQ3 | 1N-X=1=-P-2H-P-P-X | Cappelletti, strong
238   S  1NXX-S     560          T4.K4.9764.QT863 872.T863.J85.J52 AJ96.QJ75.32.AK7 KQ53.A92.AKQT.94 | 1N-X=1=-P-P-XX=2= | Cappelletti, strong | SOS
239   S  4S-E      -420          2.J8753.95.JT843 QT9875.T92.A83.2 643.AKQ.Q7642.A9 AKJ.64.KJT.KQ765 | 1N-X=1=-2D-4S | Cappelletti, strong
240   S  2S-E      -200          95.Q72.643.J8643 KQT842.T9863.2.2 AJ6.KJ.J875.KQ95 73.A54.AKQT9.AT7 | 1N-X=1=-P-2S | Cappelletti, strong
241   S  2H-E        50          K532.7.T63.T9752 T9.Q942.J987.Q64 AQ74.AK53.54.K83 J86.JT86.AKQ2.AJ | 1N-X=1=-P-2H | Cappelletti, strong
242   S  4H-E      -450          T762.32.96532.82 3.QJT986.Q8.QT76 KQ98.74.AJT.AJ54 AJ54.AK5.K74.K93 | 1N-X=1=-P-P-XX=2=-P-2D-2H-P-3D=3=-P-4H | Cappelletti, strong | SOS | Limit raise or better in !H
243   S  3D-S       110          9.T865.AQ8543.T7 87652.743.J2.984 AKJ43.J92.97.AK5 QT.AKQ.KT6.QJ632 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
244   S  3D-S       110          J3.65.T96432.K97 985.T9832.K7.863 AQT76.J4.AJ8.A42 K42.AKQ7.Q5.QJT5 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
245   S  2S-E      -140          62.T532.32.K9643 QJ954.86.985.T52 A87.AKJ9.QT76.J8 KT3.Q74.AKJ4.AQ7 | 1N-X=1=-P-2S | Cappelletti, strong
246   S  3N-E       100          975.8.8732.J9654 QT832.J75.T6.A83 AJ6.T9632.AK9.K7 K4.AKQ4.QJ54.QT2 | 1N-X=1=-P-2N-P-3N | Cappelletti, strong
247   S  3S-E      -170          Q.T8543.87643.73 8752.K976.5.QJT6 A63.QJ.AKJT.9542 KJT94.A2.Q92.AK8 | 1N-X=1=-2D-X-XX=2=-2H=3=-P-3S | Cappelletti, strong | Artificial | Limit raise or better in !S
248   S  2S-S      -100          962.986.98542.53 8.KQ72.763.JT974 KT754.AJ5.QT.KQ8 AQJ3.T43.AKJ.A62 | 1N-X=1=-P-P-2S | Cappelletti, strong
249   S  2H-S       140          T862.JT.54.QJ875 975.53.AT932.932 KQ4.AK876.KJ6.64 AJ3.Q942.Q87.AKT | 1N-X=1=-P-P-2H | Cappelletti, strong
250   S  2S-N      -300          743.642.T7.J9532 K62.J85.6532.K74 Q95.AK97.KJ84.Q8 AJT8.QT3.AQ9.AT6 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2S | Cappelletti, strong | SOS | Artificial
251   S  2S-E      -110          643.Q64.Q9742.84 QT875.J95.6.J932 AK9.AT87.KT53.Q6 J2.K32.AJ8.AKT75 | 1N-X=1=-P-2S | Cappelletti, strong
252   S  3D-S       130          T85.9.K98653.AT2 J62.8432.72.8643 AQ97.KJT7.QJ.K97 K43.AQ65.AT4.QJ5 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
253   S  2D-S        90          73.Q943.62.KT862 9854.J876.K84.54 JT.KT2.AQJT5.A93 AKQ62.A5.973.QJ7 | 1N-X=1=-P-P-2D | Cappelletti, strong
254   S  3S-E      -140          4.J8654.JT.K7532 Q9852.T3.98652.9 KJT.AK7.AQ73.T84 A763.Q92.K4.AQJ6 | 1N-X=1=-2D-2S-X=2=-P-3H-P-P-3S | Cappelletti, strong | Support
255   S  2D-E      -130          T54.T542.8.87652 872.QJ6.97632.KJ AJ3.K7.JT54.AQT4 KQ96.A983.AKQ.93 | 1N-X=1=-P-P-XX=2=-P-2C=3=-2D | Cappelletti, strong | SOS | Artificial
256   S  2S-E      -140          42.QT6.T9872.987 K98653.J52.3.T54 T7.AK97.KJ64.AJ2 AQJ.843.AQ5.KQ63 | 1N-X=1=-P-2S | Cappelletti, strong
257   S  2H-E      -140          AT64.52.T9.96543 832.JT973.Q853.2 Q75.Q864.AK7.KQ8 KJ9.AK.J642.AJT7 | 1N-X=1=-P-2H | Cappelletti, strong
258   S  3D-W        50          94.T842.J4.J9643 K753.J95.83.T875 AQT2.A63.AT52.K2 J86.KQ7.KQ976.AQ | 1N-X=1=-P-P-XX=2=-3D | Cappelletti, strong | SOS
259   S  1NX-S     -100          J2.Q73.T9874.T97 T6.T654.Q32.A852 K854.AJ8.J65.KQJ AQ973.K92.AK.643 | 1N-X=1= | Cappelletti, strong
260   S  2H-E       100          JT86.J96.6.QT953 32.8752.7532.J72 975.A43.AKJT4.A6 AKQ4.KQT.Q98.K84 | 1N-X=1=-P-2H | Cappelletti, strong
261   S  2H-E      -200          852.7.T8652.9762 94.QT9432.94.A83 KJT6.K8.KJ3.KQJ5 AQ73.AJ65.AQ7.T4 | 1N-X=1=-P-2H | Cappelletti, strong
262   S  2H-E      -110          T82.J2.Q9752.762 964.T8543.864.K8 AQ7.Q76.AKJ.JT95 KJ53.AK9.T3.AQ43 | 1N-X=1=-P-2H | Cappelletti, strong
263   S  2S-E      -140          T97.T85.83.J9863 6532.K93.42.T754 AQ4.AJ74.QJT5.Q2 KJ8.Q62.AK976.AK | 1N-X=1=-P-2S | Cappelletti, strong
